Authors;Author(s) ID;Title;Year;Source title;Volume;Cited by;DOI;Link;Affiliations;Abstract;Author Keywords;Index Keywords;Publisher;PubMed ID;Document Type;Source;EID
Midhun J.--Arun Raj A.S.--Beereddy M.--Gandu S.P.--Sudha G.P.--Gandu B.H.;58573779200--56522534100--58573929100--58404551400--57554325000--58573893100;Ensemble Deep Learning Models for Accurate Prediction of Cardiovascular Disease Risk: A Comparative Analysis;2023;Proceedings of the 2nd International Conference on Edge Computing and Applications, ICECAA 2023;;0;10.1109/ICECAA58104.2023.10212248;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170821653&doi=10.1109%2fICECAA58104.2023.10212248&partnerID=40&md5=1b79251affbeb9e73e652fa1492cb3ab;Karunya Institute of Technology and Sciences, Computer Science and Engineering, Coimbatore, 641114, India;A leading cause of death globally is cardiovascular disease (CVD). Early CVD detection is essential for successful treatment and complication prevention. Convolutional neural network (CNN), Recurrent neural networks (RNN), bidirectional recurrent neural networks (BiRNN), deep neural networks (DNN), and an ensemble model has all been used in this study's deep learning-based approach for CVD prediction. With a test size of 20%, suggested models were trained and assessed on a dataset of 303 patients. The models were assessed using a variety of criteria, including recall, sensitivity, specificity, F1-score, accuracy, and precision. The ensemble model achieved best performance, with 99% accuracy, 100% precision, 100% recall, 0.97 F1-score, 1.0 sensitivity, and 0.99 specificity. The training and validation loss vs. epoch graph for each model was also analysed to assess the model's performance. Findings from this research suggest that the proposed machine learning-based approach can effectively predict CVD, with the ensemble model outperforming individual models. The use of such models can aid in the early detection and prevention of CVD, improving patient outcomes. Future work can focus on evaluating the proposed models on a larger dataset and incorporating additional clinical variables.  © 2023 IEEE.;Bidirectional recurrent neural network--Cardiovascular disease--Convolutional neural network--Deep learning--Ensemble model;Cardiology--Convolution--Deep neural networks--Diseases--Forecasting--Learning systems--Recurrent neural networks--Risk assessment--Statistical tests--Accurate prediction--Bidirectional recurrent neural networks--Cardiovascular disease--Convolutional neural network--Deep learning--Disease risks--Ensemble models--F1 scores--Learning models--Learning-based approach--Convolutional neural networks;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85170821653
Miao L.--Wang W.;58483941700--58484768000;Cardiovascular Disease Prediction Based on Soft Voting Ensemble Model;2023;Journal of Physics: Conference Series;2504;0;10.1088/1742-6596/2504/1/012021;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164619324&doi=10.1088%2f1742-6596%2f2504%2f1%2f012021&partnerID=40&md5=ae0c99aef4aa5df88f23da6842b2f47d;College of Computer Science & Engineering, Northwest Normal University, Lanzhou, 730071, China;In recent years, cardiovascular disease has become a serious threat to the health and safety of people all over the world. Machine learning, deep learning and other artificial intelligence (AI) technologies used to assist medical diagnosis are becoming more and more popular. In order to improve the performance of cardiovascular disease prediction, this paper proposes an ALD soft voting ensemble model (ALD-SVE), which is composed of three individual learners, Attentional Factorization Machines (AFM) can make full use of the cross features of cardiovascular disease data and capture. The attention mechanism introduced in the AFM model gives different weights to cross features to enhance interpretation, and then uses the soft voting ensemble of Logistic Regression (LR) and Decision Tree (DT) to further enhance the stability and generalization of the model. Experiments show that the ALD-SVE model has excellent performance in cardiovascular disease data sets, and its AUC value reached 0.80306, better than the listed comparison model. © Published under licence by IOP Publishing Ltd.;;Cardiology--Deep learning--Diagnosis--Diseases--Health risks--Artificial intelligence technologies--Attention mechanisms--Cardiovascular disease--Ensemble models--Factorization machines--Health and safety--Machine-learning--Performance--Prediction-based--Soft voting--Decision trees;Institute of Physics;;Conference paper;Scopus;2-s2.0-85164619324
Akoosh L.M.S.--Siddiqui F.--Naaz S.--Alam M.A.;58723384700--55392678200--57203059433--20435724700;Machine Learning Using Radial Basis Function with K Means Clustering for Predicting Cardiovascular Diseases;2023;Lecture Notes in Electrical Engineering;1078 LNEE;0;10.1007/978-981-99-5974-7_52;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177856162&doi=10.1007%2f978-981-99-5974-7_52&partnerID=40&md5=602a6a1cf527b646bbd93da00b0694f7;Department of Computer Science and Engineering, School of Engineering Sciences and Technology, Jamia Hamdard, New Delhi, India;Heart disease is a condition that affects the heart and has been responsible for most deaths globally in recent decades. Getting a proper diagnosis is an essential step in treating heart disease. The challenge is timely diagnosis and treatment of heart disease in order to save lives. Machine learning algorithms can help healthcare practitioners to predict heart problems using massive medical data. The purpose of this work is to critically discuss and evaluate machine learning algorithms for the diagnosis of several heart disease characteristics using supervised, unsupervised, and deep learning techniques. Further, a neural network model using radial basis function with K means clustering has been implemented using TensorFlow and Keras. The model was run for 10 and 100 epochs for batch sizes 8, 16, and 32 and the results have been derived in terms of loss function and accuracy. Although the model performs very well in terms of loss which is around 0.32, it gives an accuracy of close to 72% only which needs to improve. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd 2023.;Cardiovascular diseases--Deep learning--Ensemble learning--K means clustering--Machine learning--Radial basis function;Cardiology--Deep learning--Diagnosis--Diseases--Heart--Image segmentation--Learning algorithms--Learning systems--Medical problems--Neural network models--Radial basis function networks--Base function--Cardiovascular disease--Deep learning--Ensemble learning--Heart disease--K-means++ clustering--Machine learning algorithms--Machine-learning--Radial base function--Radial basis--K-means clustering;Springer Science and Business Media Deutschland GmbH;;Conference paper;Scopus;2-s2.0-85177856162
Gola K.K.--Arya S.;57136720500--58066042200;Satin Bowerbird Optimization-Based Classification Model for Heart Disease Prediction Using Deep Learning in E-Healthcare;2023;Proceedings - 23rd IEEE/ACM International Symposium on Cluster, Cloud and Internet Computing Workshops, CCGridW 2023;;0;10.1109/CCGridW59191.2023.00063;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166736699&doi=10.1109%2fCCGridW59191.2023.00063&partnerID=40&md5=42532ebe348cc51f5ef01f8b73dd76b8;Coer University, Uttarakhand, Roorkee, 247667, India--Indian Institute of Technology, Uttarakhand, Roorkee, 247667, India;currently, the medical field is most concerned about cardiovascular disease (CVD), which is a chronic and highly fatal condition that accounts for the highest number of global deaths. The number of cases of heart attacks has been steadily increasing across various age groups, except those below 28 years, as reported by the National Crime Records Bureau (NCRB). Wearable sensor devices have become prevalent in the current healthcare scenario. They have enabled real-time monitoring of health records, thus aiding in the early identification of the risk of heart disease. The accurate diagnosis and prediction of cardiovascular disease are vital in providing appropriate treatment to patients by cardiologists. This study aims to develop a model that can accurately predict cardiovascular diseases and thereby reduce the fatality rates associated with them. The Satin Bowerbird optimization algorithm selects the most significant feature, and an enhanced deep-learning model is employed for classification. Here the performance of the proposed work is compared with other methods such as SVM, Decision Tree, Logistic Regression, Random Forest, and Evolutionary Deep Learning. Its effectiveness is evaluated using accuracy, precision, recall, and Fl-score metrics in PYTHON. The results show that the proposed model achieved 90% accuracy, 94% precision, 91.3% recall, and an F1 score of 92.6%.  © 2023 IEEE.;Extreme Learning Machine--Framingham riskfactor.--Heart disease prediction;Cardiology--Decision trees--Deep learning--Diagnosis--Diseases--Health risks--Learning systems--Logistic regression--Patient treatment--Risk assessment--Support vector machines--Cardiovascular disease--Classification models--E-healthcare--Extreme learning machine--Framingham riskfactor.--Heart disease--Heart disease prediction--Learning machines--Medical fields--Optimisations--Forecasting;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85166736699
Suvanov S.--Sabharwal M.--Choudhary V.;58769571300--57192422156--58832221800;A systematic review on heart disease prediction using deep neural network for scalable datasets;2023;Artificial Intelligence, Blockchain, Computing and Security: Volume 2;2;0;10.1201/9781032684994-19;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180064713&doi=10.1201%2f9781032684994-19&partnerID=40&md5=46bc86f1df62224b0ebbc3ff61d31202;Samarkand State University, Samarkand City, Uzbekistan--Galgotias University, India;Deep Learning and Artificial Neural Networks (ANN) are technologies that simulate a human brain because it consists of several neurons. The input layer, hidden layers, and output layer of the network are thus manifested. The network attempts to learn from the data that is fed to it and then makes predictions accordingly. ANN is one of the most basic types of neural network. The Artificial Neural Network does not have any specific structure--it comprises multiple neural layers for prediction. The effective application of deep learning happens in the fields like finances, marketing, and retail which has inspired the other sectors. It can be effectively applied to healthcare and medical science, such as cardiology. Doctors have a considerable amount of data in hospitals and clinics--unfortunately, there is insufficient knowledge to use the data to make a persuasive heart disease prediction decision. This paper aims to bring an effective study of machine learning in Heart Disease Prediction for scalable datasets. The study also concludes that the significant factors affecting heart disease are classified into four factors: socio-demographic characteristics, family history, medical history, environmental risk factors, and dietary/lifestyle factors. It also sub-classifies them as adjustable and non-adjustable with a detailed list. © 2024 selection and editorial matter, Arvind Dagur, Karan Singh, Pawan Singh Mehra & Dhirendra Kumar Shukla--individual chapters, the contributors.;;;CRC Press;;Book chapter;Scopus;2-s2.0-85180064713
Tayyeb M.--Umer M.--Alnowaiser K.--Sadiq S.--Eshmawi A.A.--Majeed R.--Mohamed A.--Song H.--Ashraf I.;57214294765--58255137000--57217020290--57217053958--35112877500--57219179327--57213606201--58659012800--57195478761;Deep Learning Approach for Automatic Cardiovascular Disease Prediction Employing ECG Signals;2023;CMES - Computer Modeling in Engineering and Sciences;137;0;10.32604/cmes.2023.026535;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165168946&doi=10.32604%2fcmes.2023.026535&partnerID=40&md5=1186f57041c559f257e7181374e46423;Department of Computer Science & Information Technology, The Islamia University of Bahawalpur, Bahawalpur, 63100, Pakistan--Department of Computer Engineering, College of Computer Engineering and Sciences, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia--Department of Computer Science, Khwaja Fareed University of Engineering and Information Technology, Rahim Yar Khan, Pakistan--Department of Cybersecurity, College of Computer Science and Engineering, University of Jeddah, Jeddah, 21959, Saudi Arabia--Faculty of Computer Science and Information Technology, Universiti Tun Husein OnnMalaysia (UTHM), Bahru, 80536, Malaysia--Research Centre, Future University in Egypt, New Cairo, 11745, Egypt--Department of Information Systems, University of Maryland, Baltimore County, Baltimore, 21250, MD, United States--Department of Information and Communication Engineering, Yeungnam University, Gyeongsan-si, 38541, South Korea;Cardiovascular problems have become the predominant cause of death worldwide and a rise in the number of patients has been observed lately. Currently, electrocardiogram (ECG) data is analyzed by medical experts to determine the cardiac abnormality, which is time-consuming. In addition, the diagnosis requires experienced medical experts and is error-prone. However, automated identification of cardiovascular disease using ECGs is a challenging problem and state-of-the-art performance has been attained by complex deep learning architectures. This study proposes a simple multilayer perceptron (MLP) model for heart disease prediction to reduce computational complexity. ECG dataset containing averaged signals with window size 10 is used as an input. Several competing deep learning and machine learning models are used for comparison. K-fold cross-validation is used to validate the results. Experimental outcomes reveal that the MLP-based architecture can produce better outcomes than existing approaches with a 94.40% accuracy score. The findings of this study show that the proposed system achieves high performance indicating that it has the potential for deployment in a real-world, practical medical environment. © 2023 Tech Science Press. All rights reserved.;Cardiovascular disease prediction--deep learning--electrocardiograms--multilayer perceptron;Cardiology--Deep learning--Diseases--Forecasting--Learning systems--Multilayer neural networks--Multilayers--Automated identification--Cardiovascular disease--Cardiovascular disease prediction--Causes of death--Deep learning--Electrocardiogram signal--Error prones--Learning approach--Medical experts--Multilayers perceptrons--Electrocardiograms;Tech Science Press;;Article;Scopus;2-s2.0-85165168946
Zheng Y.--Chen Z.--Huang S.--Zhang N.--Wang Y.--Hong S.--Kai Chan J.S.--Chen K.-Y.--Xia Y.--Zhang Y.--Lip G.Y.H.--Qin J.--Tse G.--Liu T.;57830164300--57221633204--57210443701--57198822965--57205535459--56245620000--57799873000--25824731500--7403027346--50362378700--57802425600--56621952200--56829029100--23568158200;Machine Learning in Cardio-Oncology: New Insights from an Emerging Discipline;2023;Reviews in Cardiovascular Medicine;24;1;10.31083/j.rcm2410296;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177988441&doi=10.31083%2fj.rcm2410296&partnerID=40&md5=09697c9ff17716606310c92f26a10e66;Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular Disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, Tianjin, 300211, China--National Institute of Health Data Science, Peking University, Peking University, Beijing, 100871, China--Institute of Medical Technology, Peking University Health Science Center, Beijing, 100871, China--Cardio-Oncology Research Unit, Cardiovascular Analytics Group, PowerHealth Limited, Hong Kong, 999077, Hong Kong--Department of Cardiology, First Affiliated Hospital of Dalian Medical University, Liaoning, Dalian, 116011, China--Heart Failure Center, State Key Laboratory of Cardiovascular Disease, Fuwai Hospital, National Center for Cardiovascular Diseases, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, 100037, China--Liverpool Centre for Cardiovascular Science, University of Liverpool, Liverpool John Moores University, Liverpool Heart & Chest Hospital, Liverpool, L69 3BX, United Kingdom--Danish Center for Health Services Research, Department of Clinical Medicine, Aalborg University, Aalborg, 999017, Denmark--Section of Cardio-Oncology & Immunology, Division of Cardiology, the Cardiovascular Research Institute, University of California San Francisco, San Francisco, 94143, CA, United States--School of Nursing and Health Studies, Hong Kong Metropolitan University, Hong Kong, 999077, Hong Kong;A growing body of evidence on a wide spectrum of adverse cardiac events following oncologic therapies has led to the emergence of cardio-oncology as an increasingly relevant interdisciplinary specialty. This also calls for better risk-stratification for patients undergoing cancer treatment. Machine learning (ML), a popular branch discipline of artificial intelligence that tackles complex big data problems by identifying interaction patterns among variables, has seen increasing usage in cardio-oncology studies for risk stratification. The objective of this comprehensive review is to outline the application of ML approaches in cardio-oncology, including deep learning, artificial neural networks, random forest and summarize the cardiotoxicity identified by ML. The current literature shows that ML has been applied for the prediction, diagnosis and treatment of cardiotoxicity in cancer patients. In addition, role of ML in gender and racial disparities for cardiac outcomes and potential future directions of cardio-oncology are discussed. It is essential to establish dedicated multidisciplinary teams in the hospital and educate medical professionals to become familiar and proficient in ML in the future. Copyright: © 2023 The Author(s).;cardio-oncology--cardiotoxicity--inequity--machine learning--multidisciplinary team;angiotensin receptor antagonist--beta adrenergic receptor blocking agent--dipeptidyl carboxypeptidase inhibitor--immune checkpoint inhibitor--trastuzumab--Article--artificial neural network--autonomic nervous system--cancer patient--cancer treatment related cardiac dysfunction--cardiology--cardiomyopathy--cardiotoxicity--clinician--coronary artery calcification--coronary atherosclerosis--deep learning--drug safety--gender inequality--health disparity--heart failure--heart rate variability--human--human epidermal growth factor receptor 2 positive breast cancer--low-dose computed tomography--machine learning--medical education--multidisciplinary team--myocarditis--oncology--pericardial effusion--pericarditis--prediction--racial disparity--radiation dose--random forest;IMR Press Limited;;Article;Scopus;2-s2.0-85177988441
Singh D.--Singh A.--Rakhra M.--Singh J.--Kumar R.;57553865500--57215740436--57202981339--57697030800--57392412500;Forecasting Cardiovascular Disease Using Deep Learning;2023;Proceedings - 2023 3rd International Conference on Innovative Sustainable Computational Technologies, CISCT 2023;;0;10.1109/CISCT57197.2023.10351331;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182922892&doi=10.1109%2fCISCT57197.2023.10351331&partnerID=40&md5=c0c0b4b458f92fa6da29fd012c7456de;Lovely Professional University, Department of Computer Science & Engineering, Jalandhar, Phagwara, India--Lovely Professional University, Department of Mathematics, Punjab, Phagwara, 144411, India;Across the world most of the deaths are caused due to heart disease. To lower death rates, early heart disease identification and prevention are essential. In recent years, early detection and cardiac disease prediction have both benefited from the machine learning techniques application. With the use of the heart.csv dataset, this study compares how well Support Vector Machine (SVM), Random Forest (RF) and Decision Tree (DT) do at forecasting heart disease. The findings show that Random Forest outperforms SVM and Decision Tree with 100% accuracy.  © 2023 IEEE.;Decision Tree--Heart disease etc--Random Forest--RF--Support Vector Machine--SVM;Cardiology--Decision trees--Deep learning--Diseases--Forecasting--Heart--Learning systems--Cardiac disease--Cardiovascular disease--Death rates--Heart disease--Heart disease etc--Machine learning techniques--Random forests--Support vectors machine--Support vector machines;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85182922892
Abbas S.--Sampedro G.A.--Alsubai S.--Almadhor A.--Kim T.-H.;57218517216--57208213752--57194975731--57202875014--56981749100;An Efficient Stacked Ensemble Model for Heart Disease Detection and Classification;2023;Computers, Materials and Continua;77;0;10.32604/cmc.2023.041031;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176400189&doi=10.32604%2fcmc.2023.041031&partnerID=40&md5=684ad8f3cb6a7a5ea5c5303ee820f546;Department of Computer Science, COMSATS University, Islamabad, Pakistan--College of Computer Studies, De La Salle University, Manila, 1004, Philippines--Faculty of Information and Communication Studies, University of the Philippines Open University, Los Banos, 4031, Philippines--College of Computer Engineering and Sciences, Prince Sattam bin Abdulaziz University, Alkharj, Saudi Arabia--Department of Computer Engineering and Networks, College of Computer and Information Sciences, Jouf University, Sakaka, 72388, Saudi Arabia--School of Electrical and Computer Engineering, Yeosu Campus, Chonnam National University, Yeosu-si, 59626, South Korea;Cardiac disease is a chronic condition that impairs the heart’s functionality. It includes conditions such as coronary artery disease, heart failure, arrhythmias, and valvular heart disease. These conditions can lead to serious complications and even be life-threatening if not detected and managed in time. Researchers have utilized Machine Learning (ML) and Deep Learning (DL) to identify heart abnormalities swiftly and consistently. Various approaches have been applied to predict and treat heart disease utilizing ML and DL. This paper proposes a Machine and Deep Learning-based Stacked Model (MDLSM) to predict heart disease accurately. ML approaches such as eXtreme Gradient Boosting (XGB), Random Forest (RF), Naive Bayes (NB), Decision Tree (DT), and K-Nearest Neighbor (KNN), along with two DL models: Deep Neural Network (DNN) and Fine Tuned Deep Neural Network (FT-DNN) are used to detect heart disease. These models rely on electronic medical data that increases the likelihood of correctly identifying and diagnosing heart disease. Well-known evaluation measures (i.e., accuracy, precision, recall, F1-score, confusion matrix, and area under the Receiver Operating Characteristic (ROC) curve) are employed to check the efficacy of the proposed approach. Results reveal that the MDLSM achieves 94.14% prediction accuracy, which is 8.30% better than the results from the baseline experiments recommending our proposed approach for identifying and diagnosing heart disease. © 2023 Tech Science Press. All rights reserved.;Deep neural network--healthcare--heart disease--machine learning--stacking;Cardiology--Decision trees--Deep neural networks--Diagnosis--Diseases--Forecasting--Learning systems--Nearest neighbor search--Petroleum reservoir evaluation--Cardiac disease--Chronic conditions--Condition--Disease classification--Disease detection--Ensemble models--Healthcare--Heart disease--Machine-learning--Stackings--Heart;Tech Science Press;;Article;Scopus;2-s2.0-85176400189
Chandra A.C.--Sharmila S.--Sourabhi G.S.--Rohit G.A.--Anita J.P.;58766312600--57189756674--58766375700--58766498400--36631436300;Classification of Myocardial Infarction from Multi-Lead ECG Signals Using Hybrid Deep Learning;2023;2023 IEEE International Conference on Distributed Computing, VLSI, Electrical Circuits and Robotics, DISCOVER 2023;;0;10.1109/DISCOVER58830.2023.10316699;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179894168&doi=10.1109%2fDISCOVER58830.2023.10316699&partnerID=40&md5=6c00ccf4496ea094c87dd6151b5fabe0;Amrita Vishwa Vidyapeetham, Amrita School of Engineering, Department of Electronics and Communication Engineering, Coimbatore, India;Myocardial Infarction, commonly known as heart attack is a serious condition that causes severe damage to the myocardium. Majority of the researches were engaged in preprocessing the ECG signals. This involved various steps such as reducing the noise, removing trends, segmenting beats and selecting relevant features before building models and classifying the data using machine learning methods. In this paper, the proposed model is an ensemble of 12 experts with predefined CNN architectures like AlexNet and GoogLeNet using the ECG signals without any complex preprocessing. Hyper parameters are tuned to give an accuracy of 98.78%, further tested with 6 datasets apart from the PTB database which gives an accuracy of an average of 75%. The model is significant compared with two other methods such as 12 lead scalogram collage method with an accuracy of 20.18% and concatenated raw signal method with an accuracy of 60.43%. © 2023 IEEE.;AlexNet--CNN--ECG--GoogLeNet--Myocardial Infarction--Scalograms;Biomedical signal processing--Cardiology--Classification (of information)--Deep learning--Learning systems--Alexnet--Condition--ECG signals--Googlenet--Heart attack--Multi-led ECG--Myocardial Infarction--Noise removing--Relevant features--Scalogram--Electrocardiograms;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85179894168
Sahu R.--Mohanty K.--Dash S.R.--Brahnam S.--Barra P.;57203927641--58705564900--57214675186--55912322400--57205195650;Prediction of Heart Attack and Death: Comparison Between 1 DCNN and Conventional ML Approaches;2023;2023 1st International Conference on Circuits, Power, and Intelligent Systems, CCPIS 2023;;0;10.1109/CCPIS59145.2023.10291179;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177578298&doi=10.1109%2fCCPIS59145.2023.10291179&partnerID=40&md5=3397988b5ded8e85f5c944f7ee63781a;Silicon Institution of Technology, Department of Computer Science and Engineering, Bhubaneswar, India--School of Computer Applications, Kiit Deemed to Be University, Bhubaneswar, India--Missouri State University, Department of Information Technology and Cybersecurity, United States--University of Naples 'Parthenope', Department of Science and Technology, Italy;Since heart diseases influence human life significantly, so rigorous investigations and experiments are needed for the treatment of patients in the early stage. Physicians could treat after identifying the heart diseases. After getting related information about the human body, immediate prediction of heart stock is awakened by the physicians for appropriate treatment and reduce the chances of a heart attack. Again, if the probability of death due to a heart attack is detected, then the treatment may help to recover the patients. To detect heart diseases, machine learning and deep learning approaches can be coded. In this study, two datasets are experimented with conventional machine learning algorithms and deep learning algorithms. One dataset is related to the prediction of chances of heart attack and another dataset is related to the prediction of death due to heart stock. Among all approaches, the one-dimensional convolutional neural network has been shown 99.9% accuracy of prediction. More experiments on heart diseases using different machine learning approaches can conclude the appropriate model for detecting heart diseases, whereas, in this study, the one-dimensional convolutional neural network has given the best performance.  © 2023 IEEE.;1DCNN--conventional ML--heart attack--the influence of heart attack;Cardiology--Convolution--Convolutional neural networks--Deep learning--Diseases--Heart--Learning algorithms--Learning systems--Patient treatment--1DCNN--Conventional ML--Convolutional neural network--Heart attack--Heart disease--Human bodies--Human lives--One-dimensional--The influence of heart attack--Forecasting;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85177578298
Altaf A.--Mahdin H.--Alive A.M.--Ninggal M.I.H.--Altaf A.--Javid I.;58577507800--35759460000--58577267000--54179602300--58577388100--57216352578;Systematic Review for Phonocardiography Classification Based on Machine Learning;2023;International Journal of Advanced Computer Science and Applications;14;1;10.14569/IJACSA.2023.0140889;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171281553&doi=10.14569%2fIJACSA.2023.0140889&partnerID=40&md5=698e26846b5cbd8a7770730236815782;Faculty of Computer Science and Information Technology, Universiti Tun Hussein Onn Malaysia, Johor, Parit Raja,Batu Pahat, Malaysia--Computer Engineering Dept, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia--Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Selangor, Malaysia--Department of Computer Science & IT, University of Poonch Rawalakot, AJK, Pakistan;Phonocardiography, the recording and analysis of heart sounds, has become an essential tool in diagnosing cardiovascular diseases (CVDs). In recent years, machine learning and deep learning techniques have dramatically improved the automation of phonocardiogram classification, making it possible to delve deeper into intricate patterns that were previously difficult to discern. Deep learning, in particular, leverages layered neural networks to process data in complex ways, mimicking how the human brain works. This has contributed to more accurate and efficient diagnoses. This systematic review aims to examine the existing literature on phonocardiography classification based on machine learning, focusing on algorithms, datasets, feature extraction methods, and classification models utilized. The materials and methods used in the study involve a comprehensive search of relevant literature and a critical evaluation of the selected studies. The review also discusses the challenges encountered in this field, especially when incorporating deep learning techniques, and suggests future research directions. Key findings indicate the potential of machine and deep learning in enhancing the accuracy of phonocardiography classification, thereby improving cardiovascular disease diagnosis and patient care. The study concludes by summarizing the overall implications and recommendations for further advancements in this area. © (2023), (Science and Information Organization). All Rights Reserved.;CVDs--deep learning--Heart sounds classification--Phonocardiogram (PCG);Cardiology--Computer aided diagnosis--Deep learning--Diseases--Learning algorithms--Learning systems--Multilayer neural networks--Network layers--Phonocardiography--Cardiovascular disease--Deep learning--Heart sound classification--Heart sounds--Machine-learning--On-machines--Phonocardiogram--Phonocardiograms--Sound classification--Systematic Review--Classification (of information);Science and Information Organization;;Review;Scopus;2-s2.0-85171281553
Krittanawong C.--Kaplin S.--Sharma S.K.;57188642415--57205493961--55356266000;Artificial intelligence on interventional cardiology;2023;Artificial Intelligence in Clinical Practice: How AI Technologies Impact Medical Research and Clinics;;0;10.1016/B978-0-443-15688-5.00040-1;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176829535&doi=10.1016%2fB978-0-443-15688-5.00040-1&partnerID=40&md5=e22617a64cbced6097162104c8bdd923;Cardiology Division, NYU Langone Health and NYU School of Medicine, New York, NY, United States--Cardiac Catheterization Laboratory of the Cardiovascular Institute, Mount Sinai Hospital, New York, NY, United States;This chapter discusses the use of AI in interventional cardiology. The chapter outlines how machine learning is focused on building automated clinical decision systems that help physicians make more accurate predictions, rather than those obtained through simplified estimated scoring systems. Studies illustrating the promise of AI techniques, such as Deep Learning (DL) and computer vision, for image quantification in cardiology are discussed and recent developments in the use of Machine Learning (ML) for physiologic measurements are also summarized. Studies showing the use of ML in intravascular ultrasound (IVUS) imaging technology are summarized, with examples describing the accurate diagnosis of angiographic lesions, plaque characterization, microvascular dysfunction, and post-procedural stent area and the performance of IVUS-based ML algorithms compared with that of human experts. The chapter discusses how AI-assisted precision PCI is an extremely promising area within interventional cardiology in order to optimize lesion preparation, obtain complete revascularization and, achieve a durable long-term result, and examples of how AI can aid in this area are given. The use of AI models for risk stratification and outcome prediction in cardiology is described, and a selection of studies in this area is summarized. The use of DL in robotic-assisted procedures is also touched upon briefly. The use of Natural Language Processing (NLP) to predict post PCI outcomes is described and the possible utilization of augmented reality and AI to assist in medical education and catheterization laboratory training, such as procedural training, procedural assistance, and patient or physician education is also outlined. The potential for AI to detect and identify various challenging cardiological conditions is also discussed. The chapter ends by discussing the challenges for the use of AI-assisted decision-making, and providing a brief overview of the future of AI-integrated interventional cardiology. © 2024 Elsevier Inc. All rights reserved.;AI--augmented reality--automated clinical decision systems--deep learning (DL)--image quantification--intravascular imaging--intravascular ultrasound--machine learning (ML)--Natural Language Processing (NLP)--precision PCI--robotic-assisted procedures;;Elsevier;;Book chapter;Scopus;2-s2.0-85176829535
Singh G.--Guleria K.--Sharma S.;57220818491--57201090704--56727001500;Machine Learning and Deep Learning Models for Early Detection of Heart Disease;2023;Proceedings - 4th IEEE 2023 International Conference on Computing, Communication, and Intelligent Systems, ICCCIS 2023;;0;10.1109/ICCCIS60361.2023.10425392;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186500505&doi=10.1109%2fICCCIS60361.2023.10425392&partnerID=40&md5=aeb225db7a0b5639a0e32aa405b7820e;Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India;The prevalence of cardiovascular disease is a significant worldwide health concern. health concern and is responsible for an increased fatality rate. Effective treatment and prevention of heart disease depend on early detection and precise prediction. This work proposes various machine learning (ML) and deep learning (DL) models for the prediction of heart disease based on a large dataset of patient traits and medical indicators defining the presence of heart disease. This work uses various classifiers namely Naive Bayes, Multilayer Perceptron (MLP), decision tree, and Logistic Regression for developing an effective heart disease prediction model. These models have been fed with a dataset containing 1025 tuples and 11 attributes such as sex, age, thalach, restecg etc. The proposed model has been developed with a train and test ratio of 80:20, The aforementioned phenomenon has led to the emergence of certain measures, including precision, recall, accuracy, and Fl-measure, as indicators of the achieved results. The results have depicted that out of all the ML and DL models, the Decision Tree exhibited the highest accuracy with a rate of 98.04%. However, MLP has been also identified as the second outperforming model by showing 95.51 % for binary heart disease classification. Furthermore, the performance of Naive Bayes and logistic regression have shown an accuracy of 83.12%, and 84.48%, respectively. © 2023 IEEE.;Decision Tree--Deep Learning--Logistic Regression--Machine Learning--Naïve Bayes Heart Disease;Cardiology--Deep learning--Diseases--Forecasting--Large datasets--Learning systems--Logistic regression--Statistical tests--Cardiovascular disease--Deep learning--Health concerns--Heart disease--Learning models--Logistics regressions--Machine-learning--Multilayers perceptrons--Naive baye heart disease--Naive bayes--Decision trees;Institute of Electrical and Electronics Engineers Inc.;;Conference paper;Scopus;2-s2.0-85186500505
